|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
118|Anneke Smelik|Holland|Hiroshima mon amour (Resnais)|The Piano (Campion)|Antonia's Line (Gorris)|Les Silences du palais (Tlatli)|A idade maior (Villaverde)|Daisies (Chytilová)|A hora da estrela (Amaral)|Orlando (Potter)|Dust (Hänsel)|Floating Life (Law)|||
119|Paul Julian Smith|UK|Vertigo (Hitchcock)|Citizen Kane (Welles)|Meet Me in St. Louis (Minnelli)|A Star Is Born (Cukor)|Imitation of Life (Sirk)|Mildred Pierce (Curtiz)|À bout de souffle (Godard)|Chungking Express (Wong)|All about My Mother (Almodóvar)|Amores perros (González Iñárritu)|||
120|Gavin Smith|US|The Passion of Joan of Arc (Dreyer)|Sunrise (Murnau)|La Règle du jeu (Renoir)|The Magnificent Ambersons (Welles)|Psycho (Hitchcock)|L'eclisse (Antonioni)|Au hasard Balthazar (Bresson)|Two or Three Things I Know about Her (Godard)|Taxi Driver (Scorsese)|Days of Heaven (Malick)|||
121|Jack Stevenson|Denmark/US|Blade Runner (Scott)|Brainstorm (Conrad)|Europa (von Trier)|Metropolis (Lang)|Midnight Cowboy (Schlesinger)|The Night of the Hunter (Laughton)|Summer with Monika (Bergman)|The Third Man (Reed)|The Wizard of Oz (Fleming)|Written on the Wind (Sirk)|||
122|David Stratton|Australia|Greed (von Stroheim)|The General (Keaton)|La Règle du jeu (Renoir)|The Grapes of Wrath (Ford)|Citizen Kane (Welles)|Letter from an Unknown Woman (Ophuls)|Singin' in the Rain (Kelly, Donen)|Seven Samurai (Kurosawa)|À bout de souffle (Godard)|Nashville (Altman)|||
123|Philip Strick|UK|L'avventura (Antonioni)|Black Narcissus (Powell, Pressburger)|Blade Runner (Scott)|French Cancan (Renoir)|Le Mépris (Godard)|The Searchers (Ford)|Solaris (Tarkovsky)|2001: A Space Odyssey (Kubrick)|Vertigo (Hitchcock)|Wild Strawberries (Bergman)|||
124|Yvonne Tasker|UK|Boys Don't Cry (Peirce)|Chinatown (Polanski)|The Conversation (Coppola)|Johnny Guitar (N. Ray)|M (Lang)|Orlando (Potter)|The Piano (Campion)|Rebecca (Hitchcock)|Thelma & Louise (Scott)|Touch of Evil (Welles)|||
125|Amy Taubin|US|La Règle du jeu (Renoir)|Au hasard Balthazar (Bresson)|Man with a Movie Camera (Vertov)|The Rise to Power of Louis XIV (Rossellini)|Two or Three Things I Know about Her (Godard)|Vertigo (Hitchcock)|Shoah (Lanzmann)|Diaries, Notes & Sketches: Walden (Mekas)|Jeanne Dielman... (Akerman)|Spider (Cronenberg)|||
126|Trevor Steele Taylor|South Africa|Blowup (Antonioni)|Culloden (Watkins)|Deep Throat (Gerard)|The Gospel According to St. Matthew (Pasolini)|If... (Anderson)|The Long Day's Dying (Collinson)|Performance (Cammell, Roeg)|2001: A Space Odyssey (Kubrick)|Toby Dammit (Fellini)|The Wild Bunch (Peckinpah)|||
127|Simeon Tegel|Mexico|Day of the Beast (Iglesia)|La ley de Herodes (Estrada)|Cabeza de vaca (Echevarria)|Three Kings (D. Russell)|Snatch (Ritchie)|Man Bites Dog (Belvaux, Poelvoorde)|Pulp Fiction (Tarantino)|The Night of the Hunter (Laughton)|Night of the Hunter (Greene)|Fitzcarraldo (Herzog)|||
128|Charles Tesson|France|La Règle du jeu (Renoir)|To Be or Not to Be (Lubitsch)|Ordet (Dreyer)|El (Buñuel)|Beyond a Reasonable Doubt (Lang)|Vertigo (Hitchcock)|Sounds from the Mountains (Naruse)|Miss Oyu (Mizoguchi)|The Music Room (S. Ray)|Francisca (Oliveira)|||
129|David Thomson|US|Blue Velvet (Lynch)|Celine and Julie Go Boating (Rivette)|Citizen Kane (Welles)|The Conformist (Bertolucci)|His Girl Friday (Hawks)|A Man Escaped (Bresson)|Pierrot le fou (Godard)|La Règle du jeu (Renoir)|That Obscure Object of Desire (Buñuel)|Ugetsu Monogatari (Mizoguchi)|||
130|Sakari Toiviainen|Finland|Battleship Potemkin (Eisenstein)|The Circus (Chaplin)|La Grande Illusion (Renoir)|Tokyo Story (Ozu)|Rear Window (Hitchcock)|The Searchers (Ford)|Wild Strawberries (Bergman)|Le Mépris (Godard)|Au hasard Balthazar (Bresson)|India Song (Duras)|||
131|Kenneth Turan|US|Battleship Potemkin (Eisenstein)|Citizen Kane (Welles)|Les Enfants du paradis (Carné)|The Godfather and The Godfather Part II (Coppola)|Madame de... (Ophuls)|La Règle du jeu (Renoir)|Seven Samurai (Kurosawa)|Sherlock Jr. (Keaton)|Singin' in the Rain (Kelly, Donen)|Vertigo (Hitchcock)|||
132|Hulya Ucansu|Turkey|The Player (Altman)|Three Colours Trilogy (Kieslowski)|Pulp Fiction (Tarantino)|Un Coeur en hiver (Sautet)|Fargo (Coen)|A Taste of Cherry... (Kiarostami)|Eyes Wide Shut (Kubrick)|Eternity and a Day (Angelopoulos)|All about My Mother (Almodóvar)|Clouds of May (Ceylan)|||
133|Aruna Vasudev|India|The Seventh Seal (Bergman)|Tokyo Story (Ozu)|Pather Panchali (S. Ray)|8 1/2 (Fellini)|Last Year at Marienbad (Resnais)|À bout de souffle (Godard)|Antonio das Mortes (Rocha)|Andrei Roublev (Tarkovsky)|Singin' in the Rain (Kelly, Donen)|Yellow Earth (Chen)|||
134|Walt Vian|Switzerland|The Rise to Power of Louis XIV (Rossellini)|Pierrot le fou (Godard)|Ugetsu Monogatari (Mizoguchi)|La Règle du jeu (Renoir)|Tokyo Story (Ozu)|The Round Up (Jancsó)|North by Northwest (Hitchcock)|Rashomon (Kurosawa)|Out One (Rivette)|8 1/2 (Fellini)|||
135|Ginette Vincendeau|UK/France|Cleo from 5 to 7 (Varda)|Double Indemnity (Wilder)|La Grande Illusion (Renoir)|The Leopard (Visconti)|The Man Who Shot Liberty Valance (Ford)|Le Mépris (Godard)|Pépé le Moko (Duvivier)|Rear Window (Hitchcock)|Le Samouraï (Melville)|Wild Strawberries (Bergman)|||
136|Alexander Walker|UK|L'avventura (Antonioni)|Citizen Kane (Welles)|Dr. Strangelove (Kubrick)|La dolce vita (Fellini)|The 400 Blows (Truffaut)|The Leopard (Visconti)|Some Like It Hot (Wilder)|2001: A Space Odyssey (Kubrick)|Taxi Driver (Scorsese)|Wild Strawberries (Bergman)|||
137|Armond White|US|A.I. Artificial Intelligence (Spielberg)|L'avventura (Antonioni)|Intolerance (Griffith)|Jules et Jim (Truffaut)|Lawrence of Arabia (Lean)|Lola (Demy)|The Magnificent Ambersons (Welles)|Masculin féminin (Godard)|Nashville (Altman)|The Passion of Joan of Arc (Dreyer)|||
138|Linda Williams|US|L'Age d'or (Buñuel)|Ai no corrida (Oshima)|Belle de jour (Buñuel)|The Birth of a Nation (Griffith)|Modern Times (Chaplin)|Persona (Bergman)|Sansho Dayu (Mizoguchi)|A Star Is Born (Cukor)|Swing Time (Stevens)|Vampyr (Dreyer)|||
