ID|Title|Director
862|The Wild Bunch|Peckinpah
863|Wild Strawberries|Bergman
864|William Shakespeare's Romeo + Juliet|Luhrmann
865|The Wind|Sjöström
866|The Wind Will Carry Us|Kiarostami
867|Wings of Desire|Wenders
868|Winter Light|Bergman
869|Without Anaesthetic|Wajda
870|The Wizard of Oz|Fleming
871|A Woman under the Influence|Cassavetes
872|Women on the Verge of a Nervous Breakdown|Almodóvar
873|The Wonderful Lie of Nina Petrowna|Schwarz
874|World of Apu|S. Ray
875|Written on the Wind|Sirk
876|Xala|Sembéne
877|Ya - Cuba|Kalatozov
878|Yeelen|Cissé
879|Yellow Earth|Chen
880|Yol|Gören
881|You Are Weighed but Found Lacking|Brocka
882|Young Mr. Lincoln|Ford
883|Zéro de conduite|Vigo
884|Zvenigora|Dovzhenko
