ID|Title|Director
199|Diary of a Country Priest|Bresson
200|The Discreet Charm of the Bourgeoisie|Buñuel
201|Distant Voices Still Lives|Davies
202|Do the Right Thing|Lee
203|Do You Remember Dolly Bell?|Kusturica
204|La dolce vita|Fellini
205|Don't Look Back|Pennebaker
206|Don't Look Now|Roeg
207|Double Indemnity|Wilder
208|The Double Life of Véronique|Kieslowski
209|Dr. Strangelove|Kubrick
210|Drifting Clouds|Kaurismäki
211|Duck Soup|McCarey
212|Dune|Lynch
213|Dushi Fengguang|Muzhi
214|Dust|Hänsel
215|8 1/2|Fellini
216|E.T. The Extra-Terrestrial|Spielberg
217|Earth|Dovzhenko
218|L'eclisse|Antonioni
219|Édouard et Caroline|Becker
220|Eijanaika|Imamura
221|El|Buñuel
222|Éloge de l'amour|Godard
223|The Emperor's Naked Army Marches On|Hara
224|The Empress Yang Kwei-Fei|Mizoguchi
225|L'Enfance nue|Pialat
226|L'Enfant secret|Garrel
227|Les Enfants du paradis|Carné
228|The Enigma of Kaspar Hauser|Herzog
229|Eternity and a Day|Angelopoulos
230|Europa|von Trier
231|Europa '51|Rossellini
232|Exodus|McQueen
233|The Exorcist|Friedkin
234|The Exterminating Angel|Buñuel
235|Eyes Wide Shut|Kubrick
236|Eyes without a Face|Franju
237|F for Fake|Welles
238|Faces|Cassavetes
239|The Fallen Idol|Reed
240|Fanny and Alexander|Bergman
241|Fantasia|Sharpsteen, Armstrong et al
242|Le Fantôme de la liberté|Buñuel
243|Farewell My Concubine|Chen
244|Fargo|Coen
245|Faster, Pussycat! Kill! Kill!|Meyer
246|Faust|Murnau
247|Fear Eats the Soul|Fassbinder
248|La Femme d'à côté|Truffaut
249|Ferocious Saint Lord of Gobi|Nyamgavaa
250|Ferris Bueller's Day Off|Hughes
251|Fireman's Ball|Forman
252|Fires Were Started|Jennings
253|Fitzcarraldo|Herzog
254|Five Easy Pieces|Rafelson
255|Five Fingers of Death|Chang
256|Flaming Creatures|J. Smith
257|Floating Clouds|Naruse
258|Floating Life|Law
259|Floating Weeds|Ozu
260|Flowers of Shanghai|Hou
261|Forever Amber|Preminger
262|Forrest Gump|Zemeckis
263|The Fountainhead|Vidor
264|The 400 Blows|Truffaut
265|Four Nights of a Dreamer|Bresson
266|Francisca|Oliveira
267|French Cancan|Renoir
268|From Saturday to Sunday|Machaty
269|Full Metal Jacket|Kubrick
270|The General|Keaton
271|Gentleman Jim|Walsh
272|Gentlemen Prefer Blondes|Hawks
273|Germany Year Zero|Rossellini
274|Germany, Pale Mother|Sanders-Brahms
275|Gertrud|Dreyer
276|Get Shorty|Sonnenfeld
277|The Ghost and Mrs. Muir|Mankiewicz
278|Giant|Stevens
279|Gion Bayashi|Mizoguchi
280|The Girl from Chicago|Micheaux
281|God Told Me To|Cohen
282|The Godfather|Coppola
283|The Godfather and The Godfather Part II|Coppola
284|The Godfather Part II|Coppola
285|The Godfather Trilogy|Coppola
286|Going My Way|McCarey
287|Gold Diggers of 1933|LeRoy
288|The Gold Rush|Chaplin
289|The Golden Coach|Renoir
290|Goldfinger|Hamilton
291|Gone with the Wind|Fleming
292|Good Morning, Boys!|Varnel
293|The Good, the Bad and the Ugly|Leone
294|GoodFellas|Scorsese
295|The Gospel According to St. Matthew|Pasolini
296|Le Goût des autres|Jaoui
297|The Graduate|Nichols
298|La Grande Illusion|Renoir
299|The Grapes of Wrath|Ford
300|Grease|Kleiser
301|The Great Dictator|Chaplin
302|The Great Ecstasy of Woodcarver Steiner|Herzog
303|The Great Escape|J. Sturges
304|Great Expectations|Lean
305|Greed|von Stroheim
306|The Grissom Gang|Aldrich
307|Groundhog Day|Ramis
308|Gummo|Korine
309|Gunga Din|Stevens
310|Guys and Dolls|Mankiewicz
311|La Haine|Kassovitz
312|Hana-Bi|Kitano
313|The Happiest Days of Your Life|Launder
314|Happiness|Medvedkin
315|Happiness|Solondz
316|Happy Together|Wong
317|Harold and Maude|Ashby
318|The Hawks and the Sparrows|Pasolini
319|He Who Gets Slapped|Sjöström
320|Heaven's Gate|Cimino
321|Heimat|Reitz
